Word,Confusions
अधुरो,अधूरो
अधूरो,अधुरो
अधोविन्दु,अधोबिन्दु
अधोबिन्दु,अधोविन्दु
अध्वर्यु,अध्वर्यू
अध्वर्यू,अध्वर्यु
अन,हन
हन,अन
अनउ,अनौ
अनौ,अनउ
अनति,अनदी
अनदी,अनति
अनन्त,अनन्द
अनन्द,अनन्त
अनबन,अनवन
अनवन,अनबन
अनबिस्वास,अनविश्वास
अनविश्वास,अनबिस्वास
अनबिस्वासी,अनविश्वासी
अनविश्वासी,अनबिस्वासी
अनरिती,अनरीति
अनरीति,अनरिती
अनर्क,अनर्ख
अनर्ख,अनर्क
अनाउनु,हनाउनु
हनाउनु,अनाउनु
अनाडी,अनादि
अनादि,अनाडी
अनाहुत,अनाहूत
अनाहूत,अनाहुत
अनिदो,अनिधो
अनिधो,अनिदो
अनुतान,अनुदान
अनुदान,अनुतान
अनुमति,हनुमती
हनुमती,अनुमति
अन्डर,"अन्दर, हन्डर"
अन्दर,अन्तर
हन्डर,अन्डर
अन्तर,अन्दर
अन्डरबियर,अन्डरवियर
अन्डरवियर,अन्डरबियर
अन्डी,"अन्दी, हण्डी, हन्डी"
अन्दी,"अन्ति, अन्ती"
हण्डी,"अन्डी, हन्डी"
हन्डी,"अन्डी, हण्डी"
अन्ति,"अन्ती, अन्दी"
अन्ती,"अन्ति, अन्दी"
अन्डे,अण्डे
अण्डे,अन्डे
अन्तकाल,हन्तकाल
हन्तकाल,अन्तकाल
अन्तर्भेद,"अन्तर्वेद, अन्तर्वेध"
अन्तर्वेद,"अन्तर्भेद, अन्तर्वेध"
अन्तर्वेध,"अन्तर्भेद, अन्तर्वेद"
अन्तर्भेदी,अन्तर्वेदी
अन्तर्वेदी,अन्तर्भेदी
अन्तारि,अन्तारी
अन्तारी,अन्तारि
अन्धिनु,अन्तिनु
अन्तिनु,अन्धिनु
अन्नकोश,अन्नकोष
अन्नकोष,अन्नकोश
अप,अफ
अफ,अप
अपठ,अपढ
अपढ,अपठ
अपठनीय,अपतनीय
अपतनीय,अपठनीय
अपर,अफर
अफर,अपर
अपराह्न,अपराह्ण
अपराह्ण,अपराह्न
अपशोच,"अपसोच, अफसोच"
अपसोच,"अपशोच, अफसोच"
अफसोच,"अपशोच, अपसोच"
अपसोस,अफसोस
अफसोस,अपसोस
अपाप,अफाप
अफाप,अपाप
अपुतो,अपूतो
अपूतो,अपुतो
अपुरो,अपूरो
अपूरो,अपुरो
अफिम,हफिम
हफिम,अफिम
अब,अव
अव,अब
हब,हव
हव,हब
अबगाल,अवगाल
अवगाल,अबगाल
अबध्य,अवध्य
अवध्य,अबध्य
हबला,अबला
अबला,हबला
अबा,अभा
अभा,अबा
अबाद,अबाध
अबाध,अबाद
अबाल,अवाल
अवाल,अबाल
अबाह्य,अवाह्य
अवाह्य,अबाह्य
अबिघात,"अभिघात, अविघात"
अभिघात,"अबिघात, अविघात"
अविघात,"अबिघात, अभिघात"
अबिर,"अवीर, अबीर"
अवीर,"अबिर, अबीर"
अबीर,"अबिर, अवीर"
अबिरी,अबीरी
अबीरी,अबिरी
अबुझ,अभुज
अभुज,अबुझ
अबेकस,अवेकस
अवेकस,अबेकस
अबेद,अभेद
अभेद,अबेद
अबेस्ता,अवेस्ता
अवेस्ता,अबेस्ता
अब्धि,अब्धी
अब्धी,अब्धि
अब्बल,अव्वल
अव्वल,अब्बल
अब्बा,हब्बा
हब्बा,अब्बा
अब्रख,"अभ्रक, अभ्रख"
अभ्रक,"अब्रख, अभ्रख"
अभ्रख,"अब्रख, अभ्रक"
अभर,अवर
अवर,अभर
अभारित,अवारित
अवारित,अभारित
अभिख्यात,अविख्यात
अविख्यात,अभिख्यात
अभिचार,अविचार
अविचार,अभिचार
अभिचारक,अविचारक
अविचारक,अभिचारक
अभिचारी,अविचारी
अविचारी,अभिचारी
अभिजय,अविजय
अविजय,अभिजय
अभिज्ञ,अविज्ञ
अविज्ञ,अभिज्ञ
अभिज्ञात,अविज्ञात
अविज्ञात,अभिज्ञात
अभिज्ञेय,अविज्ञेय
अविज्ञेय,अभिज्ञेय
अभिधा,अविधा
अविधा,अभिधा
अभिधान,अविधान
अविधान,अभिधान
अभिनय,अविनय
अविनय,अभिनय
अभिनीत,अविनीत
अविनीत,अभिनीत
अभियुक्त,अवियुक्त
अवियुक्त,अभियुक्त
अभियोग,अवियोग
अवियोग,अभियोग
अभियोज्य,अवियोज्य
अवियोज्य,अभियोज्य
अभिरत,अविरत
अविरत,अभिरत
अभिरति,अविरति
अविरति,अभिरति
अभिराम,अविराम
अविराम,अभिराम
अभिलक्ष्य,अविलक्ष्य
अविलक्ष्य,अभिलक्ष्य
अभिलाष,अविलाष
अविलाष,अभिलाष
अभिवृत्ति,अभिवृद्धि
अभिवृद्धि,अभिवृत्ति
अभिशङ्का,अविशङ्का
अविशङ्का,अभिशङ्का
अभिशङ्कित,अविशङ्कित
अविशङ्कित,अभिशङ्कित
अभिशेष,अविशेष
अविशेष,अभिशेष
अभिहित,अविहित
अविहित,अभिहित
अभीक्षण,अविक्षण
अविक्षण,अभीक्षण
अभेद्य,अवेद्य
अवेद्य,अभेद्य
अभ्यक्त,अव्यक्त
अव्यक्त,अभ्यक्त
अभ्यग्र,अव्यग्र
अव्यग्र,अभ्यग्र
अभ्यञ्जन,अव्यञ्जन
अव्यञ्जन,अभ्यञ्जन
अभ्यसन,अव्यसन
अव्यसन,अभ्यसन
अभ्याघात,अव्याघात
अव्याघात,अभ्याघात
अभ्युत्पत्ति,अव्युत्पत्ति
अव्युत्पत्ति,अभ्युत्पत्ति
अमत,अमद
अमद,अमत
अमरुड,अमरुद
अमरुद,अमरुड
अमरो,हमरो
हमरो,अमरो
अमला,हमला
हमला,अमला
अमाल,हमाल
हमाल,अमाल
अमाली,हमाली
हमाली,अमाली
अमुक,अमूक
अमूक,अमुक
अमोठ,अमोड
अमोड,अमोठ
अम्बर,अम्भर
अम्भर,अम्बर
अम्बा,हम्बा
हम्बा,अम्बा
अम्म,हम्म
हम्म,अम्म
अम्मा,हम्मा
हम्मा,अम्मा
अयश,अयस
अयस,अयश
अरक,अरख
अरख,अरक
अरणी,अरनी
अरनी,अरणी
हरडी,हरदी
हरदी,हरडी
अररी,हररी
हररी,अररी
अरवा,हरवा
हरवा,अरवा
अरहर,हरहर
हरहर,अरहर
अराइ,हराइ
हराइ,अराइ
अराइठो,अराइतो
अराइतो,अराइठो
अराउनु,हराउनु
हराउनु,अराउनु
हरहरी,अरारी
अरारी,हरहरी
अरि,एरी
एरी,अरि
हरिण,हरिन
हरिन,हरिण
अरुवा,हरुवा
हरुवा,अरुवा
अरोपरो,अरौपरौ
अरौपरौ,अरोपरो
हर्क,हर्ख
हर्ख,हर्क
अर्ककपुर,अर्ककपूर
अर्ककपूर,अर्ककपुर
अर्कौलो,अर्खौलो
अर्खौलो,अर्कौलो
अर्गट,अर्घट
अर्घट,अर्गट
अर्गेली,अर्घेली
अर्घेली,अर्गेली
अर्चा,अर्छा
अर्छा,अर्चा
अर्चिष्मती,अर्चिष्मति
अर्चिष्मति,अर्चिष्मती
अर्णा,अर्ना
अर्ना,अर्णा
अर्ति,अर्ती
अर्ती,अर्ति
अर्थुङ्गो,हर्थुङ्गो
हर्थुङ्गो,अर्थुङ्गो
अर्धउष्ण,अर्धोष्ण
अर्धोष्ण,अर्धउष्ण
अर्धवृत्त,अर्धवृद्ध
अर्धवृद्ध,अर्धवृत्त
अर्धाशन,अर्धासन
अर्धासन,अर्धाशन
अर्पण,अर्पन
अर्पन,अर्पण
अलक,अलख
अलख,अलक
अलका,अलखा
अलखा,अलका
अलकावली,अलकावलि
अलकावलि,अलकावली
अलबम,एलबम
एलबम,अलबम
अलावा,एलावा
एलावा,अलावा
अलि,अली
अली,अलि
अलिबार,अलिवार
अलिवार,अलिबार
अलुवा,हलुवा
हलुवा,अलुवा
हलो,हलौ
हलौ,हलो
अल्की,अल्खी
अल्खी,अल्की
अल्डेङ्ग्रो,अल्ढेङ्ग्रो
अल्ढेङ्ग्रो,अल्डेङ्ग्रो
अल्पी,अल्फी
अल्फी,अल्पी
अल्लड,अल्लढ
अल्लढ,अल्लड
अवतारण,"अवदारण, अवधारण"
अवदारण,"अवतारण, अवधारण"
अवधारण,"अवतारण, अवदारण"
अवतीर्ण,अवदीर्ण
अवदीर्ण,अवतीर्ण
अवदान,अवधान
अवधान,अवदान
अवदारक,अवधारक
अवधारक,अवदारक
अवदारित,अवधारित
अवधारित,अवदारित
अवधि,अवधी
अवधी,अवधि
अवनी,अवनि
अवनि,अवनी
अवन्ती,अवन्ति
अवन्ति,अवन्ती
अवर्तन,अवर्धन
अवर्धन,अवर्तन
अवर्तमान,अवर्धमान
अवर्धमान,अवर्तमान
अवाइ,"एबाई, एवाई"
एबाई,"अवाइ, एवाई"
एवाई,"अवाइ, एबाई"
हबिगत,हविगत
हविगत,हबिगत
अवृत्ति,अवृद्धि
अवृद्धि,अवृत्ति
अशक,असक
असक,अशक
अशक्त,असक्त
असक्त,अशक्त
अशक्ति,असक्ति
असक्ति,अशक्ति
अशन,असन
असन,अशन
अशील,असिल
असिल,अशील
अशुद्धि,अनुद्धो
असुद्दी,"अशुद्धि, असुद्धी"
असुद्धी,"अशुद्धि, असुद्दी"
अश्योल,अस्योल
अस्योल,अश्योल
अषाढ,असाड
असाड,अषाढ
अष्मदीय,अस्मदीय
अस्मदीय,अष्मदीय
असब्य,असभ्य
असभ्य,असब्य
असाद्दे,असाद्धे
असाद्धे,असाद्दे
असि,असी
असी,असि
असिऔँ,असीऔँ
असीऔँ,असिऔँ
असियौँ,असीयौँ
असीयौँ,असियौँ
असोज,असौज
असौज,असोज
असोजे,असौजे
असौजे,असोजे
हस्ती,हस्ति
हस्ति,हस्ती
एहो,एहौ
एहौ,एहो
अह्रोट,अह्रौट
अह्रौट,अह्रोट
एककोशीय,एककोषीय
एककोषीय,एककोशीय
एकचालिस,एकचालीस
एकचालीस,एकचालिस
एकचालिसौँ,एकचालीसौँ
एकचालीसौँ,एकचालिसौँ
एकतम,एकदम
एकदम,एकतम
एकतिस,एकतीस
एकतीस,एकतिस
एकतिसौँ,एकतीसौँ
एकतीसौँ,एकतिसौँ
एको,एकौ
एकौ,एको
एकोटा,एकौटा
एकौटा,एकोटा
एल्कै,एल्खै
एल्खै,एल्कै
हँसउड्या,हँसौड्या
हँसौड्या,हँसउड्या
हँसमुक,हँसमुख
हँसमुख,हँसमुक
हउलो,हौलो
हौलो,होलो
होलो,हौलो
होस,हौस
हौस,"हउस, होस"
हउस,हौस
हकि,हकी
हकी,हकि
अगाइनु,अघाइनु
अघाइनु,अगाइनु
हण्डाचिन्डा,हण्डाचिण्डा
हण्डाचिण्डा,हण्डाचिन्डा
हपसिदपसी,हपसीदपसी
हपसीदपसी,हपसिदपसी
हबलदार,हवलदार
हवलदार,हबलदार
हबलदारी,हवलदारी
हवलदारी,हबलदारी
हरण,हरन
हरन,हरण
हरबाही,हरवाही
हरवाही,हरबाही
हरसङ्गा,हरसङ्घा
हरसङ्घा,हरसङ्गा
हरिअर,हरिहर
हरिहर,हरिअर
हरिछाल,हरीछाल
हरीछाल,हरिछाल
हर्कबढाइँ,हर्खबढाइँ
हर्खबढाइँ,हर्कबढाइँ
हर्दीआँप,हर्दिआँप
हर्दिआँप,हर्दीआँप
हलुवाबेत,हलुवाबेद
हलुवाबेद,हलुवाबेत
हवालु,हबालु
हबालु,हवालु
हवेली,हबेली
हबेली,हवेली
हस्ता,हस्दा
हस्दा,हस्ता
हस्तीदन्त,हस्तिदन्त
हस्तिदन्त,हस्तीदन्त
हस्तीहाड,हस्तिहाड
हस्तिहाड,हस्तीहाड
हाइ,हाई
हाई,हाइ
हाइहाइ,हाईहाई
हाईहाई,हाइहाइ
हाप,हाफ
हाफ,हाप
हाबा,हावा
हावा,हाबा
हारि,हारी
हारी,हारि
हार्ड,हार्द
हार्द,हार्ड
हावाकाबा,हावाकावा
हावाकावा,हावाकाबा
हिङ,हीन
हीन,हिङ
हिण्डोल,हिन्दोल
हिन्दोल,हिण्डोल
हिन्दु,हिन्दू
हिन्दू,हिन्दु
हिरण,हिरन
हिरन,हिरण
हिरा,हीरा
हीरा,हिरा
हिरावली,हीरावली
हीरावली,हिरावली
हिर्दोक,हिर्दोख
हिर्दोख,हिर्दोक
हिलिमिली,हिलीमिली
हिलीमिली,हिलिमिली
हिस्साबण्डा,हिस्साबन्डा
हिस्साबन्डा,हिस्साबण्डा
हुण,हूण
हूण,हुण
हुनीहार,हुनिहार
हुनिहार,हुनीहार
हुल,हूल
हूल,हुल
हुलमुल,हुलमूल
हुलमूल,हुलमुल
हृदयभेदी,हृदयवेधी
हृदयवेधी,हृदयभेदी
हेइ,हेई
हेई,हेइ
हेराहेरी,हेराहेरि
हेराहेरि,हेराहेरी
हेलिमेली,हेलीमेली
हेलीमेली,हेलिमेली
हैबान,हैवान
हैवान,हैबान
होड,हौड
हौड,होड
होडा,हौडा
हौडा,हौदा
होरा,हौरा
हौरा,होरा
ह्यौडा,ह्यौदा
ह्यौदा,ह्यौडा
ह्यौडि,ह्यौदि
ह्यौदि,ह्यौडि
ह्यौडो,ह्यौदो
ह्यौदो,ह्यौडो
अक्राइनु,अख्राइनु
अख्राइनु,अक्राइनु
अञ्जलिपुट,अञ्जलीपुट
अञ्जलीपुट,अञ्जलिपुट
आँक,आँख
आँख,आँक
आँखीभुईँ,आँखीभुइँ
आँखीभुइँ,आँखीभुईँ
आँचलो,आँछलो
आँछलो,आँचलो
आँठे,आँडे
आँडे,आँठे
आँठो,आँडो
आँडो,आँठो
आँदो,आँधो
आँधो,आँदो
आइ,आई
आई,आइ
आइतवार,आइतबार
आइतबार,आइतवार
आउणु,आउनु
आउनु,आउणु
आक,आख
आख,आक
आकर,आखर
आखर,आकर
आक्का,आक्खा
आक्खा,आक्का
आक्ता,आख्ता
आख्ता,आक्ता
आगा,आघा
आघा,आगा
आगार,आघार
आघार,आगार
आगौँ,आघौँ
आघौँ,आगौँ
आङन,आनन
आनन,आङन
आङा,आना
आना,आङा
आनि,आनी
आनी,आनि
आङो,"आणो, आनो"
आणो,"आङो, आनो"
आनो,"आङो, आणो"
आङ्नो,आन्नो
आन्नो,आङ्नो
आङ्लो,आन्लो
आन्लो,आङ्लो
आचरण,आचरन
आचरन,आचरण
आची,आछी
आछी,आची
आच्छ्युँ,आच्छ्यूँ
आच्छ्यूँ,आच्छ्युँ
आजि,आजी
आजी,आजि
आजु,आजू
आजू,आजु
आठ,आड
आड,आठ
आठा,आडा
आडा,आठा
आदा,आधा
आधा,आदा
आठाङ,आठान
आठान,आठाङ
आदान,आधान
आधान,आदान
आठी,आडी
आडी,आठी
आदि,"आधी, आँधी"
आदी,"आदि, आधि, आधी"
आधि,"आदि, आदी, आधी"
आधी,"आँधी, आदि"
आठो,आडो
आडो,आठो
आदो,आदौ
आदौ,आदो
आडत,आढत
आढत,आडत
आडिलो,आदिलो
आदिलो,आडिलो
आढ्य,आद्य
आद्य,आढ्य
आणक,आनक
आनक,आणक
आतार,आधार
आधार,आतार
आतेस,आदेश
आदेश,आतेस
आदाङ्बा,आदाङ्वा
आदाङ्वा,आदाङ्बा
आदाता,आधाता
आधाता,आदाता
आदेय,आधेय
आधेय,आदेय
आप,आफ
आफ,आप
आपण,आपन
आपन,आपण
आपत्,आपद्
आपद्,आपत्
आपस,आफस
आफस,आपस
आपस्त,आफस्त
आफस्त,आपस्त
आपस्तम्ब,आपस्तम्भ
आपस्तम्भ,आपस्तम्ब
आपि,आपी
आपी,आपि
आपु,"आपू, आफू"
आपू,"आपु, आफू"
आफू,"आपु, आपू"
आपुइ,आफुइ
आफुइ,आपुइ
आप्नु,"आफ्नु, आफ्नू"
आफ्नु,"आप्नु, आफ्नू"
आफ्नू,"आप्नु, आफ्नु"
आबहवा,आवहवा
आवहवा,आबहवा
आबाज,आवाज
आवाज,आबाज
आबाद,आवाद
आवाद,आबाद
आबादी,आवादी
आवादी,आबादी
आबारा,आवारा
आवारा,आबारा
आबाल,आवाल
आवाल,आबाल
आभरण,आवरण
आवरण,आभरण
आभा,आवा
आवा,आभा
आभारित,आवारित
आवारित,आभारित
आभास,आवास
आवास,आभास
आभासी,आवासी
आवासी,आभासी
आमचुनाब,आमचुनाव
आमचुनाव,आमचुनाब
आमत,आमद
आमद,आमत
आमोइ,आमोई
आमोई,आमोइ
आयुद,आयुध
आयुध,आयुद
आरण,आरन
आरन,आरण
आरब,आरव
आरव,आरब
आरोहअवरोह,आरोहावरोह
आरोहावरोह,आरोहअवरोह
आलङ,आलन
